namc_code,namc_term_diacritical,query,label
PB,viṣavēgaḥ,"viṣavēgaḥ viṣavēgaḥ the disorder is characterized by rujā [pain], tōdaḥ [pricking pain] -",stages of poisoning
PB-1,prathama-viṣavēgaḥ,"prathama-viṣavēgaḥ prathama-viṣavēgaḥ the disorder is characterized by tr̥ṭ [thirst], mōhaḥ [confusion/delirium], dantaharṣaḥ [tenderness or intolerance to be touched in teeth/ dental hyperasthesia], prasēkaḥ [excessive salivation], vamathuḥ [vomiting], klamaḥ [exhaustion without exertion] -",first stage of poisoning
PB-2,dvitīya-viṣavēgaḥ,"dvitīya-viṣavēgaḥ dvitīya-viṣavēgaḥ the disorder is characterized by vaivarṇyam [discolouration], bhramaḥ [giddiness or dizziness], vēpathuḥ [shivering/tremors], mūrcchā [syncope/attacks of swooning], jr̥mbhā [yawning], aṅgacimicimā [tingling sensation in limbs], tamakaḥ [black outs] -",second stage of poisoning
PB-3,tr̥tīya-viṣavēgaḥ,"tr̥tīya-viṣavēgaḥ tr̥tīya-viṣavēgaḥ the disorder is characterized by maṇḍalaḥ [circular eruptions], kaṇḍūḥ [itching], śvayathuḥ [oedema], kōṭhaḥ [wheal like skin eruptions] -",third stage of poisoning
PB-4,caturtha-viṣavēgaḥ,"caturtha-viṣavēgaḥ caturtha-viṣavēgaḥ the disorder is characterized by dāhaḥ [burning sensation], chardiḥ [vomiting], aṅgaśūlam [pain in the limbs], mūrcchā [syncope/attacks of swooning] -",fourth stage of poisoning
PB-5,pañcama-viṣavēgaḥ,pañcama-viṣavēgaḥ pañcama-viṣavēgaḥ the disorder is characterized by nīlādīnāṁ tamasaśca darśanam [blue vision or dark vision etc.] -,fifth stage of poisoning
PB-6,ṣaṣṭha-viṣavēgaḥ,ṣaṣṭha-viṣavēgaḥ ṣaṣṭha-viṣavēgaḥ the disorder is characterized by hikkā [hiccup] -,sixth stage of poisoning
PB-7,saptama-viṣavēgaḥ,saptama-viṣavēgaḥ saptama-viṣavēgaḥ the disorder is characterized by skandhasya bhaṅgaḥ [paralysis of the muscles in the shoulder girdle] -,seventh of poisoning
PC,(a) sthāvaraviṣaḥ,(a) sthāvaraviṣaḥ (a) sthāvaraviṣaḥ - -,Plant poisons disorder (TM2) ⇒
PC-1,mūlaviṣaḥ,"mūlaviṣaḥ mūlaviṣaḥ the disorder is characterized by udvēṣṭanam [pains/ convulsive movements of limbs], pralāpaḥ [excess talking/irrelevant speech/incoherent speech], mōhaḥ [confusion/delirium] -",root poison
PC-2,patra-viṣaḥ,"patra-viṣaḥ patra-viṣaḥ the disorder is characterized by jr̥mbhā [yawning], aṅga-udvēṣṭanam [convulsive movements of body], śvāsaḥ [breathlessness/difficult breathing] -",leaf poison
PC-3,phala-viṣaḥ,"phala-viṣaḥ phala-viṣaḥ the disorder is characterized by muṣkaśōphaḥ [scrotal oedema], dāhaḥ [burning sensation], annadvēṣaḥ [aversion to food] -",fruit poison
PC-4,puṣpa-viṣaḥ,"puṣpa-viṣaḥ puṣpa-viṣaḥ the disorder is characterized by chardiḥ [vomiting], ādhmānaḥ [abdominal distension], mōhaḥ [confusion/delirium] -",flower poison
PC-5,tvaka-viṣaḥ,"tvaka-viṣaḥ tvaka-viṣaḥ the disorder is characterized by āsyadaurgandhaḥ [halitosis], pāruṣyam [roughness/dryness], śirōruk [headache], kaphasaṁsravaḥ [secretion of mucus] -",bark poison
PC-6,sāra-viṣaḥ,"sāra-viṣaḥ sāra-viṣaḥ the disorder is characterized by āsyadaurgandhaḥ [halitosis], pāruṣyam [roughness/dryness], śirōruk [headache], kaphasaṁsravaḥ [secretion of mucus] -",pith poison
PC-7,niryāsa-viṣaḥ,"niryāsa-viṣaḥ niryāsa-viṣaḥ the disorder is characterized by āsyadaurgandhaḥ [halitosis], pāruṣyam [roughness/dryness], śirōruk [headache], kaphasaṁsravaḥ [secretion of mucus] -",gum poison
PC-8,kṣīra-viṣaḥ,"kṣīra-viṣaḥ kṣīra-viṣaḥ the disorder is characterized by phēnāgamaḥ [frothing from mouth], viḍbhēdaḥ [altered stools/ loose motions], gurujihvatā [heaviness of the tongue] -",latex poison
PC-9,(a) dhātu-viṣaḥ,(a) dhātu-viṣaḥ (a) dhātu-viṣaḥ - -,Mineral poisoning disorder (TM2) ⇒
PC-10,kanda-viṣaḥ,kanda-viṣaḥ kanda-viṣaḥ the disorder is characterized by tīkṣṇam [strong/ sharp in action] -,rhyzome poison
PC-10.1,kālakūṭaviṣaḥ,"kālakūṭaviṣaḥ kālakūṭaviṣaḥ the disorder is characterized by sparśa-ajñānam [loss of tactile sensation], vēpathuḥ [shivering/tremors], stambhaḥ [rigidity/stiffness] -",kālakūṭa poisoning
PC-10.2,vatsanābhaviṣaḥ,"vatsanābhaviṣaḥ vatsanābhaviṣaḥ the disorder is characterized by grīvāstambhaḥ [stiffness of neck], pītaviṭ [yellowish stools], pītamūtram [yellowish urine], pītanētratā [yellowish eyes] -",aconitum poisoning
PC-10.3,sarṣapaviṣaḥ,"sarṣapaviṣaḥ sarṣapaviṣaḥ the disorder is characterized by [], vātavaiguṇyam [derangement/impairment of vāta], ānāhaḥ [barborygmus with distention], granthiḥ [glandular swellings] -",excessive intake of mustard
PC-10.4,pālakaviṣaḥ,"pālakaviṣaḥ pālakaviṣaḥ the disorder is characterized by grīvādaurbalyam [weakness of neck], vāksaṅgaḥ [impediment of speech/ dysphasia] -",spina poisoning
PC-10.5,vairāṭakaviṣaḥ,"vairāṭakaviṣaḥ vairāṭakaviṣaḥ the disorder is characterized by aṅgaduḥkham [body pain], śirōrōgaḥ [diseases of head] -",vairāṭaka poisoning
PC-10.6,mustakaviṣaḥ,"mustakaviṣaḥ mustakaviṣaḥ the disorder is characterized by gātrastambhaḥ [stiffness of body parts], vēpathuḥ [shivering/tremors] -",mustaka poisoning
PC-10.7,śr̥ṅgīviṣaḥ,"śr̥ṅgīviṣaḥ śr̥ṅgīviṣaḥ the disorder is characterized by aṅgasādaḥ [exhaustion or tirednes to body / inability to perform physical activities], dāhaḥ [burning sensation of body], udaravivr̥ddhiḥ [enlargement of the abdomen] -",śr̥ṅgī poisoning
PC-10.8,puṇḍarīkaviṣaḥ,"puṇḍarīkaviṣaḥ puṇḍarīkaviṣaḥ the disorder is characterized by akṣṇōḥ raktatvam [redness of eyes], udaravr̥ddhiḥ [enlargement of the abdomen] -",sugarcane poisoning
PC-10.9,mūlakaviṣaḥ,"mūlakaviṣaḥ mūlakaviṣaḥ the disorder is characterized by vaivarṇyam [discolouration], chardiḥ [vomiting], hikkā [hiccup], śōphaḥ [oedema], pramūḍhatā [semiconsciousness or stupifaction] -",mūlaka poisoning
PC-10.10,halāhalaviṣaḥ,"halāhalaviṣaḥ halāhalaviṣaḥ the disorder is characterized by cirēṇa ucchvasiti [prolonged expiration], śyāvaḥ [bluish black colour] -",hālāhala poisoning
PC-10.11,mahāviṣa-kandaviṣaḥ,"mahāviṣa-kandaviṣaḥ mahāviṣa-kandaviṣaḥ the disorder is characterized by hr̥dayē granthiḥ [nodules in heart], bhr̥śaṁ śūlōdgamaḥ [severe pain] -",mahāviśa poisoning
PC-10.12,karkaṭakaviṣaḥ,"karkaṭakaviṣaḥ karkaṭakaviṣaḥ the disorder is characterized by ūrdhvaṁ utpatati [falling from height], hasan dantān daśati [laughs, gnashes-grind one's teeth] -",karkaṭaka poisoning
PC-11,sthāvaraviṣavēga,sthāvaraviṣavēga sthāvaraviṣavēga - -,stages of plant poisoning
PC-11.1,sthāvara-prathama-viṣavēgaḥ,"sthāvara-prathama-viṣavēgaḥ sthāvara-prathama-viṣavēgaḥ the disorder is characterized by śyāvā jihvā [blackish tongue], stabdhā jihvā [stiff tongue], mūrcchā [syncope/attacks of swooning], śvāsaḥ [breathlessness/difficult breathing], jihvāstambhaḥ [stiffness of tongue], trāsaḥ [fear], klamaḥ [exhaustion without exertion], vamiḥ [vomiting] -",first stage of plant poisoning
PC-11.2,sthāvara-dvitīya-viṣavēgaḥ,"sthāvara-dvitīya-viṣavēgaḥ sthāvara-dvitīya-viṣavēgaḥ the disorder is characterized by vēpathuḥ [shivering/tremors], sādaḥ [exhaustion or tirednes of body], dāhaḥ [burning sensation], kaṇṭharujaḥ [pain in the throat], viṣamam āmāśayaprāptaṁ hr̥di vēdanām kurutē [poison reaches the stomach it causes pain in the region of the heart] -",second stage of plant poisoning
PC-11.3,sthāvara-tr̥tīya/viṣavēgaḥ,"sthāvara-tr̥tīya/viṣavēgaḥ sthāvara-tr̥tīya/viṣavēgaḥ the disorder is characterized by tāluśōṣam [dryness of palate], āmāśayaśūlam [colicky pain in epigastric region], durvarṇē lōcanē jāyētē [eyes become discoloured], haritē lōcanē jāyētē [eyes become greenish], śūnē lōcanē jāyētē [eyes become swollen], durbalē lōcanē jāyētē [weakness in eyes] -",third stage of plant poisoning
PC-11.4,sthāvara-caturtha/viṣavēgaḥ,"sthāvara-caturtha/viṣavēgaḥ sthāvara-caturtha/viṣavēgaḥ the disorder is characterized by pakvāśaya tōdaḥ [pain in rectum], āmāśaya tōdaḥ [pricking pain in stomach], hikkā [hiccup], kāsaḥ [cough], āntrakūjanam [barborygmus/ gurgling sound of intestines], śirōgauravaḥ [heaviness of head] -",fourth stage of plant poisoning
PC-11.5,sthāvara-pañcama-viṣavēgaḥ,"sthāvara-pañcama-viṣavēgaḥ sthāvara-pañcama-viṣavēgaḥ the disorder is characterized by kaphaprasēkaḥ [mucoid expectoration], vaivarṇyam [discolouration], parvabhēdaḥ [breaking type of pain in small joints], sarvadōṣaprakōpaḥ [vitiation of all dōṣa], pakvādhānē vēdanā [pain in rectum] -",fifth stage of plant poisoning
PC-11.6,sthāvara-ṣaṣṭha-viṣavēgaḥ,"sthāvara-ṣaṣṭha-viṣavēgaḥ sthāvara-ṣaṣṭha-viṣavēgaḥ the disorder is characterized by prajñāpraṇāśaḥ/saṁjñāpraṇāśaḥ [loss of conciousness], bhr̥śam atisāryatē [severe diarrhoea] -",sixth stage of plant poisoning
PC-11.7,sthāvara-saptama-viṣavēgaḥ,"sthāvara-saptama-viṣavēgaḥ sthāvara-saptama-viṣavēgaḥ the disorder is characterized by skandhabhaṅgaḥ [breaking sensation of shoulders/drooping of shoulders], pr̥ṣṭhabhaṅgaḥ [paralysis of the muscles in back], kaṭībhaṅgaḥ [breaking sensation of waist], sannirōdhaḥ (ucchvāsasya) [difficult respiration], mr̥tyuḥ [death] -",seventh of plant poisoning
PD,dūṣīviṣaḥ/kr̥trimaviṣaḥ,"dūṣīviṣaḥ/kr̥trimaviṣaḥ dūṣīviṣaḥ/kr̥trimaviṣaḥ the disorder is characterized by bhinnapurīṣaḥ [loose stools], bhinnavarṇaḥ [change in normal complexion], vigandha mukhaḥ [foul odour from mouth], vairasya mukhaḥ [altered taste in the mouth], pipāsā [thirst], mūrcchā [syncope/attacks of swooning], chardiḥ [vomiting], gadgadavāk [stuttering/ stammmering], viṣaṇṇaḥ [sadness/depression], duṣyōdara-liṅgāni [features of dūṣya udara], dhvastaśirōruhāṅgaḥ (yathā vilūnapakṣaḥ-vihaṅgaḥ) [loss of hairs from all parts of the body], annamadaḥ [sense of intoxication after meal], avipākaḥ [indigestion], arōcakaḥ [tastelessness], maṇḍalaḥ [circular eruptions], kōṭhaḥ [wheal like skin eruptions], mōhaḥ [confusion/delirium], dhātukṣayaḥ [diminution of dhatu/ emaciation], pāda-śōphaḥ/pādapraśōthaḥ [pedal oedema], karaśōphaḥ/karapraśōthaḥ [swelling in hands], āsya-śōphaḥ [swelling of mouth], dakōdaram/udaram [clinical features of dakōdar], atisāraḥ [diarrhoea], vaivarṇyam [discolouration], viṣamajvaraḥ [clinical features of viṣamajvara], prabalāṁ tr̥ṣām [excessive thirst], unmādaḥ [insanity], ānāhaḥ [barborygmus with distention], śukra-kṣapaṇam [loss of śukra], gādgadyaḥ [stuttering/ stammmering], kuṣṭhaḥ [skin diseases], aruḥ [red colored], kiṭibhaḥ [clinical features of kiṭibha], asūn harati [leads to death], śōphaḥ [oedema], pāṇḍuḥ [pallor], durnāmaḥ [haemorrhoids], māṁsakṣayaḥ [extreme wasting of muscles/diminution of muscle mass], śvāsaḥ [breathlessness/difficult breathing], jaṭhara-pravr̥ddhiḥ [abdominal swelling], jvaraḥ [fever] -",artificial poison
PD-1,dūṣīviṣapūrvarupa,"dūṣīviṣapūrvarupa dūṣīviṣapūrvarupa the disorder is characterized by nidrā [sleep], gurutvam [heaviness of the body], vijr̥mbhaṇam [yawning], viślēṣaḥ [a sense of looseness of the joints], harṣaḥ [horripilation], aṅgamardaḥ [generalised bodyache] -",premonitors of dūṣīviṣa
PD-2,dūṣīviṣa/kīṭadaṣṭaḥ,"dūṣīviṣa/kīṭadaṣṭaḥ dūṣīviṣa/kīṭadaṣṭaḥ the disorder is characterized by kr̥ṣṇaḥ [blackish discoloration], śyāva [blackish discoloration], jālakāvr̥tam/jālakācitam [appearance of web of vessels], dagdhākr̥tiḥ [burnt apperance], bhr̥śaṁpāki/bhr̥śaṁ pākam [quick suppuration], klēdaḥ [moistening / soddening], śōthaḥ [oedema], jvaraḥ [fever], ūrdhvākr̥tiḥ [elevated] -",dūṣīviṣa -insect
PD-3,dūṣīviṣa/lūtādaṣṭaḥ,dūṣīviṣa/lūtādaṣṭaḥ dūṣīviṣa/lūtādaṣṭaḥ - -,dūṣīviṣa -arachnidism
PD-4,pakvāśayastha-dūṣīviṣam,"pakvāśayastha-dūṣīviṣam pakvāśayastha-dūṣīviṣam the disorder is characterized by anilapittarōgāḥ [vātapitta disorders], uddhvastaśirōruhāṅgaḥ [hairs fall down from head and body], vilūnapakṣastu yathā vihaṅgaḥ [individual looks like a bird that has withered wings] -",dūṣīviṣa -lower bowel
PD-5,dhātugata-dūṣīviṣam,"dhātugata-dūṣīviṣam dhātugata-dūṣīviṣam the disorder is characterized by dhātuprabhavān vikārān [produces ailments due to involvement of the dhātus.e.g., rasa -aversion to food, anorexia etc] -",dūṣīviṣa -dhātu
PD-6,asādhya-dūṣīviṣaḥ,asādhya-dūṣīviṣaḥ asādhya-dūṣīviṣaḥ - -,irremediable dūṣīviṣa
PD-7,dūṣīviṣōpadravaḥ,"dūṣīviṣōpadravaḥ dūṣīviṣōpadravaḥ the disorder is characterized by jvaraḥ [fever], dāhaḥ [burning sensation], hikkā [hiccup], ānāhaḥ [barborygmus with distention], śukra-saṁkṣayam [loss of śukra/ semen], śōphaḥ [oedema], atisāraḥ [diarrhoea], mūrcchā [syncope/attacks of swooning], hr̥drōgaḥ [diseases of heart], jaṭharaḥ [abdominal distention], unmādaḥ [insanity], vēpathuḥ [shivering/tremors] -",complications of dūṣīviṣa
PE,(a) jaṅgamaviṣaḥ,(a) jaṅgamaviṣaḥ (a) jaṅgamaviṣaḥ - -,Animal poisons disorder (TM2) ⇒
PE-1,sarpaviṣaḥ,sarpaviṣaḥ sarpaviṣaḥ - -,snake venom poisoning
PE-1.1,sarpadaṣṭaḥ,sarpadaṣṭaḥ sarpadaṣṭaḥ - -,snakebite poisoning
PE-1.1.1,sarpita-daṣṭaḥ,"sarpita-daṣṭaḥ sarpita-daṣṭaḥ the disorder is characterized by cañcumālakayutktaḥ [compact beak like ring mark], vaikr̥tyakaraṇaḥ [causes deformity], saṁkṣiptaḥ [minute], saśōphaḥ [associated with swelling] -",sarpita type of snakebite
PE-1.1.2,radita/rudita-daṣṭaḥ,"radita/rudita-daṣṭaḥ radita/rudita-daṣṭaḥ the disorder is characterized by salōhitarājyaḥ [bitten part is marked by reddish lines], nīlarājyaḥ [bitten part is marked by bluish lines], pītarājyaḥ [bitten part is marked by yellowish lines], sitarājyaḥ [bitten part is marked by white lines], alpaviṣam [less venomous] -",radita type of snakebite
PE-1.1.3,nirviṣa-daṣṭaḥ,"nirviṣa-daṣṭaḥ nirviṣa-daṣṭaḥ the disorder is characterized by aśōphaḥ [Absence of swelling], alpaduṣṭāsr̥k [presence of slightly vitiated blood], prakr̥tisthadēhī [victim is perfectly normal], padaṁ padāni vā [one or more fang marks on the bitten spot] -",non-poisonous-snakebite
PE-1.2,darvīkara-sarpaviṣaḥ,"darvīkara-sarpaviṣaḥ darvīkara-sarpaviṣaḥ the disorder is characterized by tvak-kr̥ṣṇatvam [blackish skin], nayanakr̥ṣṇatvam [blackish eyes], nakhakr̥ṣṇatvam [blackish nails], daśanakr̥ṣṇatvam [blackish teeth], vadanakr̥ṣṇatvam [blackish face], mūtrakr̥ṣṇatvam [blackish urine], purīṣakr̥ṣṇatvam [blackish feces], daṁśakr̥ṣṇatvam [blackish bite site], raukṣyam [dryness], śirōgauravam [heaviness of head], sandhivēdanā [pain in joints], kaṭidaurbalyam [weakness of lowback], pr̥ṣṭhadaurbalyam [weakness of back], grīvādaurbalyam [weakness of neck], jr̥ṁbhā [yawning], vēpathuḥ [shivering/tremors], svarāvasādaḥ [sunken voice], ghurghurakaḥ [making ghhurghur sound], jaḍatā [dullness/ frigidity/inactiveness], śuṣkōdgāraḥ [dry eructations], kāsaḥ [cough], śvāsaḥ [breathlessness/difficult breathing], hikkā [hiccup], vāyōḥ ūrdhvagamanam [upward movement of vāyu], śulaḥ [colicky pain in the abdomen], udvēṣṭanam [convulsive movements of body], tr̥ṣṇā [thirst], lālāsrāvaḥ [salivation], phēnāgamanam [frothy vomiting], srōtōऽvarōdhaḥ [blocking of srōtas/ channels], vātavēdanā [pain of vāta origin] -",darvīkara type of snake poison
PE-1.2.1,darvīkarasarpaviṣavēga,darvīkarasarpaviṣavēga darvīkarasarpaviṣavēga - -,stages of darvikara snake poison
PE-1.2.1.1,darvīkarasarpaviṣa-prathamaviṣavēgaḥ,"darvīkarasarpaviṣa-prathamaviṣavēgaḥ darvīkarasarpaviṣa-prathamaviṣavēgaḥ the disorder is characterized by śōṇitaṁ kr̥ṣṇatāmupaiti [blood turns to black], aṁgakārṣṇyam/vaktrādiśyāvatā [darkness of body/ face], pipīlikā parisarpaṇam iva aṁgē/ kīṭakāḥ sarpanti iva [feeling of moving of ants on body] -",first stage of darvikara snake poison
PE-1.2.1.2,darvīkarasarpaviṣa-dvitīyaviṣavēgaḥ,"darvīkarasarpaviṣa-dvitīyaviṣavēgaḥ darvīkarasarpaviṣa-dvitīyaviṣavēgaḥ the disorder is characterized by atyarthaṁ kr̥ṣṇatā (aṅgē) [excessively blackness of bodyparts], śōphaḥ [oedema], granthayaḥ [nodular swelling] -",second stage of darvikara snake poison
PE-1.2.1.3,darvīkarasarpaviṣa-tr̥tīyaviṣavēgaḥ,"darvīkarasarpaviṣa-tr̥tīyaviṣavēgaḥ darvīkarasarpaviṣa-tr̥tīyaviṣavēgaḥ the disorder is characterized by dṁśaklēdaḥ/daṁśaviklēdaḥ [wetness at bite site], śirōgauravam/mūrdhagauravam [heaviness of body], svēdaḥ [perspiration], cakṣuḥ grahaṇam/dr̥grōdhaḥ [lacking sight] -",third stage of darvikara snake poison
PE-1.2.1.4,darvīkarasarpaviṣa-caturthaviṣavēgaḥ,"darvīkarasarpaviṣa-caturthaviṣavēgaḥ darvīkarasarpaviṣa-caturthaviṣavēgaḥ the disorder is characterized by tandrā [drowsiness/lassitude], prasēkaḥ [excessive salivation], sandhiviślēṣaḥ [loosening /dislocation of joints], ṣṭhīvanam [Spitting/excess expectoration], vamiḥ [vomiting] -",fourth stage of darvikara snake poison
PE-1.2.1.5,darvīkarasarpaviṣa-pañcamaviṣavēgaḥ,"darvīkarasarpaviṣa-pañcamaviṣavēgaḥ darvīkarasarpaviṣa-pañcamaviṣavēgaḥ the disorder is characterized by parvabhēdaḥ [breaking type of pain in small joints], hikkā/hidhmā [hiccup], dāhaḥ [burning sensation], sandhiviślēṣaḥ [loosening /dislocation of joints] -",fifth stage of darvikara snake poison
PE-1.2.1.6,darvīkarasarpaviṣa-ṣaṣṭhaviṣavēgaḥ,"darvīkarasarpaviṣa-ṣaṣṭhaviṣavēgaḥ darvīkarasarpaviṣa-ṣaṣṭhaviṣavēgaḥ the disorder is characterized by atyarthagrahaṇīduṣṭiḥ [severe affliction of 'grahaṇī' organ], gātragauravam [heaviness of body parts], atisāraḥ [diarrhoea], hr̥tpīḍā [precordial pain/cardiac pain], mūrcchā [syncope/attacks of swooning], avipākaḥ [indigestion] -",sixth stage of darvikara snake poison
PE-1.2.1.7,darvīkarasarpaviṣa-saptamaviṣavēgaḥ,"darvīkarasarpaviṣa-saptamaviṣavēgaḥ darvīkarasarpaviṣa-saptamaviṣavēgaḥ the disorder is characterized by ślēṣmavartiprādurbhāvaḥ [wick like thick mucoidal disharge from mouth], kaṭībhaṅgaḥ [breaking sensation of waist], pr̥ṣṭhabhaṅgaḥ [breaking sensation of the back], sarvacēṣṭāvighātaḥ/sarvacēṣṭānivartanam [impairment of all functions], lālātipravr̥̄ttiḥ [excessive salivation], svēdātipravr̥ttiḥ [excessive sweating], ucchvāsanirōdhaḥ [difficult respiration], skandhabhaṅgaḥ [breaking sensation of shoulders/drooping of shoulders] -",seventh stage of darvikara snake poison
PE-1.2.2,asādhya-dārvīviṣa,asādhya-dārvīviṣa asādhya-dārvīviṣa - -,incurable darvikara snake poison
PE-1.3,maṇḍalī-sarpaviṣaḥ,"maṇḍalī-sarpaviṣaḥ maṇḍalī-sarpaviṣaḥ the disorder is characterized by tvagādīnāṁ pītatvam [yellowish discoloration of skin etc.], śītābhilāṣaḥ [desire for cold], paridhūpanam [fumigating sensation/ whole body burning sensation], dāhaḥ [burning sensation], tr̥ṣṇā [thirst], madaḥ [insanity], mūrcchā [syncope/attacks of swooning], jvaraḥ [fever], śōṇitāgamanam (ūrdhvam) [bleeding from upper orifices of body], śōṇitāgamanam (adhaḥ) [bleeding from lower orifices of body], māṁsāvaśātanam [decaying of māṁsa], śvayathuḥ [swelling], dṁśakōthaḥ [necrosis at bite site], pītarūpadarśanam [yellowish appearance], āśukōpaḥ [quick anger], pittavēdanā [pain of pitta type - ōśa, cōṣa etc.] -",maṇḍalī type of snake poison
PE-1.3.1,maṇḍalīsarpaviṣavēga,maṇḍalīsarpaviṣavēga maṇḍalīsarpaviṣavēga - -,stages of maṇḍalī snake poison
PE-1.3.1.1,maṇḍalīsarpaviṣa-prathamaviṣavēgaḥ,"maṇḍalīsarpaviṣa-prathamaviṣavēgaḥ maṇḍalīsarpaviṣa-prathamaviṣavēgaḥ the disorder is characterized by śōṇitaṁ praduṣṭaṁ pītatāmupaiti/pītībhavatyasr̥k [poison affects the blood, viatiated blood becomes yellow], paridāhaḥ/dāhaḥ [severe burning sensation], pītāvabhāsatā aṅgānāṁ/pītāṅgatā [yellowish discoloration of the body] -",first stage of maṇḍalī snake poison
PE-1.3.1.2,maṇḍalīsarpaviṣa-dvitīyaviṣavēgaḥ,"maṇḍalīsarpaviṣa-dvitīyaviṣavēgaḥ maṇḍalīsarpaviṣa-dvitīyaviṣavēgaḥ the disorder is characterized by pītatā atyartham [yellow colour], paridāhaḥ [severe burning sensation], daṁśaśvayathuḥ/śvayathūdbhavaḥ [swelling at bite site] -",second stage of maṇḍalī snake poison
PE-1.3.1.3,maṇḍalīsarpaviṣa-tr̥tīyaviṣavēgaḥ,"maṇḍalīsarpaviṣa-tr̥tīyaviṣavēgaḥ maṇḍalīsarpaviṣa-tr̥tīyaviṣavēgaḥ the disorder is characterized by cakṣurgrahaṇam [blurring of vision], tr̥ṣṇā [thirst], daṁśaklēdaḥ/daṁśaviklēdaḥ [soddening at the site of bite], svēdaḥ [perspiration] -",third stage of maṇḍalī snake poison
PE-1.3.1.4,maṇḍalīsarpaviṣa-caturthaviṣavēgaḥ,maṇḍalīsarpaviṣa-caturthaviṣavēgaḥ maṇḍalīsarpaviṣa-caturthaviṣavēgaḥ the disorder is characterized by jvaraḥ [fever] -,fourth stage of maṇḍalī snake poison
PE-1.3.1.5,maṇḍalīsarpaviṣa-pañcamaviṣavēgaḥ,maṇḍalīsarpaviṣa-pañcamaviṣavēgaḥ maṇḍalīsarpaviṣa-pañcamaviṣavēgaḥ the disorder is characterized by sarvagātrēṣu paridāhaḥ/sarvagātradāhaḥ [burning sensation throughout the whole body] -,fifth stage of maṇḍalī snake poison
PE-1.3.1.6,maṇḍalīsarpaviṣa-ṣaṣṭhaviṣavēgaḥ,"maṇḍalīsarpaviṣa-ṣaṣṭhaviṣavēgaḥ maṇḍalīsarpaviṣa-ṣaṣṭhaviṣavēgaḥ the disorder is characterized by atyarthagrahaṇīduṣṭiḥ [severe affliction of 'grahaṇī' organ], gātragauravam [heaviness of body parts], atisāraḥ [diarrhoea], hr̥tpīḍā [precordial pain/cardiac pain], mūrcchā [syncope/attacks of swooning], avipākaḥ [indigestion] -",sixth stage of maṇḍalī snake poison
PE-1.3.1.7,maṇḍalīsarpaviṣa-saptamaviṣavēgaḥ,"maṇḍalīsarpaviṣa-saptamaviṣavēgaḥ maṇḍalīsarpaviṣa-saptamaviṣavēgaḥ the disorder is characterized by ślēṣmavartiprādurbhāvaḥ [wick like thick mucoidal disharge from mouth], kaṭībhaṅgaḥ [breaking sensation of waist], pr̥ṣṭhabhaṅgaḥ [breaking sensation of the back], sarvacēṣṭāvighātaḥ [impairment of all functions], lālātipravr̥̄ttiḥ [excessive salivation], svēdātipravr̥ttiḥ [excessive sweating], ucchvāsanirōdhaḥ [difficult respiration] -",seventh stage of maṇḍalī snake poison
PE-1.4,rājimat-sarpaviṣaḥ,"rājimat-sarpaviṣaḥ rājimat-sarpaviṣaḥ the disorder is characterized by tvagādīnāṁ śuklatvam [whitish discolouration of skin etc.], śītajvaraḥ [fever with chills], rōmaharṣaḥ [horripilation], gātrastambhaḥ [stiffness of body parts], ādaṁśaśōphaḥ [swelling at bite site], sāndrakaphaprasēkaḥ [thick salivation], chardiḥ abhīkṣṇam [constant vomiting] -",rājimat type of snake poison
PE-1.4.1,rājimat-sarpaviṣavēga,rājimat-sarpaviṣavēga rājimat-sarpaviṣavēga - -,stages of rājimat snake poison
PE-1.4.1.1,rājimat sarpaviṣa-prathamaviṣavēgaḥ,"rājimat sarpaviṣa-prathamaviṣavēgaḥ rājimat sarpaviṣa-prathamaviṣavēgaḥ the disorder is characterized by raktaṁ pāṇḍutāṁ upaiti [blood becomes pale], rōmaharṣaḥ [horripilation], śuklāvabhāsatā [whitish discoloration] -",first stage of rājimat snake poison
PE-1.4.1.2,rājimat sarpaviṣa-dvitīya viṣavēgaḥ,"rājimat sarpaviṣa-dvitīya viṣavēgaḥ rājimat sarpaviṣa-dvitīya viṣavēgaḥ the disorder is characterized by pāṇḍutā atyartham [severe pallor], jāḍyam [dullness/ frigidity/inactiveness], śiraḥśōphaḥ [swelling of head] -",second stage of rājimat snake poison
PE-1.4.1.3,rājimat sarpaviṣa-tr̥tīyaviṣavēgaḥ,"rājimat sarpaviṣa-tr̥tīyaviṣavēgaḥ rājimat sarpaviṣa-tr̥tīyaviṣavēgaḥ the disorder is characterized by cakṣurgrahaṇam [blurring of vision], daṁśaklēdaḥ [soddening at the site of the bite], svēdaḥ [perspiration], ghrāṇasrāvaḥ [nasal discharge], akṣisrāvaḥ [discharge from eyes] -",third stage of rājimat snake poison
PE-1.4.1.4,rājimat sarpaviṣa-caturthaviṣavēgaḥ,"rājimat sarpaviṣa-caturthaviṣavēgaḥ rājimat sarpaviṣa-caturthaviṣavēgaḥ the disorder is characterized by manyāstambhaḥ [torticollis/stiffness of neck], śirōgauram [heaviness of head] -",fourth stage of rājimat snake poison
PE-1.4.1.5,rājimat sarpaviṣa-pañcamaviṣavēgaḥ,"rājimat sarpaviṣa-pañcamaviṣavēgaḥ rājimat sarpaviṣa-pañcamaviṣavēgaḥ the disorder is characterized by vāksaṅgam [impediment of speech/ dysphasia], śītajvaram [fever with chills] -",fifth stage of rājimat snake poison
