Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Short_definition,Long_definition,Reference,query,normalized_term
1537,1537,WAA1.7,Atikālai Curam,அதிகாலை சுரம்,Fever caused in the day time,"It is characterized by hyperpyrexia in early morning, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, constipation, excessive thirst, sweating after the fever, excessive tiredness, severe cough, vomiting, yawning and hiccup",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:45,"atikālai curam atikālai curam atikālai curam atikālai curam அதிகாலை சுரம் அதிகாலை சுரம் அதிகாலை சுரம் அதிகாலை சுரம் fever caused in the day time fever caused in the day time fever caused in the day time it is characterized by hyperpyrexia in early morning, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, constipation, excessive thirst, sweating after the fever, excessive tiredness, severe cough, vomiting, yawning and hiccup anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:45",atikālai curam
1538,1538,WAA1.8,Ēppa Curam,ஏப்ப சுரம்,Fever caused due to belching,"It is characterized by fever, blackish discoloration of the body, increased body temperature, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, abdominal distension, constipation, goose flesh, insomnia, dry skin with ash and pa",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:46,"ēppa curam ēppa curam ēppa curam ēppa curam ஏப்ப சுரம் ஏப்ப சுரம் ஏப்ப சுரம் ஏப்ப சுரம் fever caused due to belching fever caused due to belching fever caused due to belching it is characterized by fever, blackish discoloration of the body, increased body temperature, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, abdominal distension, constipation, goose flesh, insomnia, dry skin with ash and pa anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:46",ēppa curam
1539,1539,WAA1.9,Koṭṭāvi Curam,கொட்டாவி சுரம்,Fever caused due to Yawning.,"It is characterized by fever, blackish discoloration of the body, increased body temperature, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, abdominal distension, constipation, goose flesh, insomnia, dry skin with ash and pa",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:47,"koṭṭāvi curam koṭṭāvi curam koṭṭāvi curam koṭṭāvi curam கொட்டாவி சுரம் கொட்டாவி சுரம் கொட்டாவி சுரம் கொட்டாவி சுரம் fever caused due to yawning. fever caused due to yawning. fever caused due to yawning. it is characterized by fever, blackish discoloration of the body, increased body temperature, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, abdominal distension, constipation, goose flesh, insomnia, dry skin with ash and pa anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:47",koṭṭāvi curam
1540,1540,WAA1.10,Tukka Curam,துக்க சுரம்,Fever caused due to Yawning.,"It is characterised by loss a control and they use to sing, dancing and blabber and crying also, fever due to mental pressure. It is explained by increased valli. Among Uṭaṟtātukkaḷ Cāram gets affected.",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:48,"tukka curam tukka curam tukka curam tukka curam துக்க சுரம் துக்க சுரம் துக்க சுரம் துக்க சுரம் fever caused due to yawning. fever caused due to yawning. fever caused due to yawning. it is characterised by loss a control and they use to sing, dancing and blabber and crying also, fever due to mental pressure. it is explained by increased valli. among uṭaṟtātukkaḷ cāram gets affected. anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:48",tukka curam
1541,1541,WAB,Aẕal,அழல்,Fever caused due to internal cause classified under Azhal,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் fever caused due to internal cause classified under azhal fever caused due to internal cause classified under azhal fever caused due to internal cause classified under azhal,aẕal
1542,1542,WAB1.1,Pitta Curam,பித்த சுரம்,Fever caused due to pitham,"It is charecterised by high fever, thought distortion, tachypnoea, goose flesh, anxiety, red spots in whole body, redness of eyes and nose, tremor in body, agusia, giddiness, excessive salivation, tiredness, delirium, loose stools, excessive thirst, darke","anonymous.(1969).yugimuni vaithiya chinthamani - 800. chennai:B.Rathina naiyakar and sons,Thirumagal vilasa achuu nilayam.Page No:30","pitta curam pitta curam pitta curam pitta curam பித்த சுரம் பித்த சுரம் பித்த சுரம் பித்த சுரம் fever caused due to pitham fever caused due to pitham fever caused due to pitham it is charecterised by high fever, thought distortion, tachypnoea, goose flesh, anxiety, red spots in whole body, redness of eyes and nose, tremor in body, agusia, giddiness, excessive salivation, tiredness, delirium, loose stools, excessive thirst, darke anonymous.(1969).yugimuni vaithiya chinthamani - 800. chennai:b.rathina naiyakar and sons,thirumagal vilasa achuu nilayam.page no:30",pitta curam
1543,1543,WAB1.2,Pittavāta Curam,பித்தவாத சுரம்,Fever caused due to pitha vatham,"It is charecterised by fever, abdominal bloating , yellowish discoloration of body, indigestion and vomiting, pain and pallor of conjunctiva, generalized edema, hyper pyrexia, chillness of the body, dryness of head, neck and abdomen, decrease in body shi",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:42,"pittavāta curam pittavāta curam pittavāta curam pittavāta curam பித்தவாத சுரம் பித்தவாத சுரம் பித்தவாத சுரம் பித்தவாத சுரம் fever caused due to pitha vatham fever caused due to pitha vatham fever caused due to pitha vatham it is charecterised by fever, abdominal bloating , yellowish discoloration of body, indigestion and vomiting, pain and pallor of conjunctiva, generalized edema, hyper pyrexia, chillness of the body, dryness of head, neck and abdomen, decrease in body shi anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:42",pittavāta curam
1544,1544,WAB1.3,Pittakapa Curam,பித்தகப சுரம்,Fever caused due to pitha kapham,"It is charecterised by fever, mental depression, intractable dry cough, continuous fever, yellowish discoloration of urine and faeces, insomnia, puffiness of the face, extremities odema, dyspnoea, loss of body weight, tiredness, hiccup, blabbering of spe","anonymous.(1969).yugimuni vaithiya chinthamani - 800. chennai:B.Rathina naiyakar and sons,Thirumagal vilasa achuu nilayam.Page No:31","pittakapa curam pittakapa curam pittakapa curam pittakapa curam பித்தகப சுரம் பித்தகப சுரம் பித்தகப சுரம் பித்தகப சுரம் fever caused due to pitha kapham fever caused due to pitha kapham fever caused due to pitha kapham it is charecterised by fever, mental depression, intractable dry cough, continuous fever, yellowish discoloration of urine and faeces, insomnia, puffiness of the face, extremities odema, dyspnoea, loss of body weight, tiredness, hiccup, blabbering of spe anonymous.(1969).yugimuni vaithiya chinthamani - 800. chennai:b.rathina naiyakar and sons,thirumagal vilasa achuu nilayam.page no:31",pittakapa curam
1545,1545,WAB1.4,Naḷir Curam,நளிர் சுரம்,Fever with chills,"It is charecterised by fever, goose flesh, yawning, vomiting, rigor, hyper pyrexia, head ache, excessive lacrimation, abdominal pain, occasional diarrhea, bilious vomiting, giddiness, blabbering speech, intermittened fever. It is explained by increased v",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:42,"naḷir curam naḷir curam naḷir curam naḷir curam நளிர் சுரம் நளிர் சுரம் நளிர் சுரம் நளிர் சுரம் fever with chills fever with chills fever with chills it is charecterised by fever, goose flesh, yawning, vomiting, rigor, hyper pyrexia, head ache, excessive lacrimation, abdominal pain, occasional diarrhea, bilious vomiting, giddiness, blabbering speech, intermittened fever. it is explained by increased v anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:42",naḷir curam
1546,1546,WAB1.5,Mēṉi Curam,மேனி சுரம்,Fever caused by skin and bone tissue,"It is charecterised by hyper pyrexia with redness of body, vomiting ,diarrhea, itching and burning sensation all over the body, lichenification of skin, giddiness. It is explained by increased Aẕal followed by increased vali. Among the seven udalthathukk",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:43,"mēṉi curam mēṉi curam mēṉi curam mēṉi curam மேனி சுரம் மேனி சுரம் மேனி சுரம் மேனி சுரம் fever caused by skin and bone tissue fever caused by skin and bone tissue fever caused by skin and bone tissue it is charecterised by hyper pyrexia with redness of body, vomiting ,diarrhea, itching and burning sensation all over the body, lichenification of skin, giddiness. it is explained by increased aẕal followed by increased vali. among the seven udalthathukk anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:43",mēṉi curam
1547,1547,WAB1.6,Uḷ Curam,உள் சுரம்,Internal fever,"It is charecterised by internal fever, mood swing, pain in both upper and lower limbs, anorexia, nausea, head ache, pallor, always feels like feverish, weight loss. It is explained by increased vali followed by increased Aẕal. Among the seven udalthathuk",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:44,"uḷ curam uḷ curam uḷ curam uḷ curam உள் சுரம் உள் சுரம் உள் சுரம் உள் சுரம் internal fever internal fever internal fever it is charecterised by internal fever, mood swing, pain in both upper and lower limbs, anorexia, nausea, head ache, pallor, always feels like feverish, weight loss. it is explained by increased vali followed by increased aẕal. among the seven udalthathuk anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:44",uḷ curam
1548,1548,WAB1.7,Viṭā Curam,விடா சுரம்,Non subsiding fever,"It is characterised by redness of eyes, excessive thirst, and dryness of tongue. In this type of fever will gradually increase in intensity and will persist for few days. It is explained by increased Aẕal followed by increased vali. Among the seven Uṭa",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:45,"viṭā curam viṭā curam viṭā curam viṭā curam விடா சுரம் விடா சுரம் விடா சுரம் விடா சுரம் non subsiding fever non subsiding fever non subsiding fever it is characterised by redness of eyes, excessive thirst, and dryness of tongue. in this type of fever will gradually increase in intensity and will persist for few days. it is explained by increased aẕal followed by increased vali. among the seven uṭa anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:45",viṭā curam
1549,1549,WAB1.8,Ceṅkaṟaic Curam,செங்கறைச் சுரம்,Fever with rashes,"It is characterised by very high fever, in this the whole body will appear edematous and reddish in colour. The other features are excessive thirst, sweating, general body pain, restricted movements, headache, giddiness, and yellowish discoloration of t",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:46,"ceṅkaṟaic curam ceṅkaṟaic curam ceṅkaṟaic curam ceṅkaṟaic curam செங்கறைச் சுரம் செங்கறைச் சுரம் செங்கறைச் சுரம் செங்கறைச் சுரம் fever with rashes fever with rashes fever with rashes it is characterised by very high fever, in this the whole body will appear edematous and reddish in colour. the other features are excessive thirst, sweating, general body pain, restricted movements, headache, giddiness, and yellowish discoloration of t anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:46",ceṅkaṟaic curam
1550,1550,WAB1.9,Muṟai Curam,முறை சுரம்,Periodic fever,"It is characterized by fever, chillness and rigor followed by redness of eyes. In this type of fever there will be severe headache and sweating present after the fever subsides. In this type of fever the fever may lost for one, two, three, or four da",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:47,"muṟai curam muṟai curam muṟai curam muṟai curam முறை சுரம் முறை சுரம் முறை சுரம் முறை சுரம் periodic fever periodic fever periodic fever it is characterized by fever, chillness and rigor followed by redness of eyes. in this type of fever there will be severe headache and sweating present after the fever subsides. in this type of fever the fever may lost for one, two, three, or four da anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:47",muṟai curam
1551,1551,WAB1.10,Mayakka Curam,மயக்க சுரம்,Fever with giddiness,"It is characterized by fever, giddiness, vomiting, vertigo and mental retardation occurs during the fever. In this type of fever loss of memory is a special feature. It is explained by increased vali and decreased aiyam. Among the seven Uṭaṟtātukkaḷ",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:48,"mayakka curam mayakka curam mayakka curam mayakka curam மயக்க சுரம் மயக்க சுரம் மயக்க சுரம் மயக்க சுரம் fever with giddiness fever with giddiness fever with giddiness it is characterized by fever, giddiness, vomiting, vertigo and mental retardation occurs during the fever. in this type of fever loss of memory is a special feature. it is explained by increased vali and decreased aiyam. among the seven uṭaṟtātukkaḷ anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:48",mayakka curam
1552,1552,WAB1.11,Pitaṟṟal Curam,பிதற்றல் சுரம்,Fever with delirium,"It is characterized by fever redness of eyes, joint pain followed by fever. In this type of fever the fever will be very high and delirium occurs. It is explained by increased vali. Among the seven udarthadhukal the Ūṉ gets affected.",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:49,"pitaṟṟal curam pitaṟṟal curam pitaṟṟal curam pitaṟṟal curam பிதற்றல் சுரம் பிதற்றல் சுரம் பிதற்றல் சுரம் பிதற்றல் சுரம் fever with delirium fever with delirium fever with delirium it is characterized by fever redness of eyes, joint pain followed by fever. in this type of fever the fever will be very high and delirium occurs. it is explained by increased vali. among the seven udarthadhukal the ūṉ gets affected. anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:49",pitaṟṟal curam
1553,1553,WAB1.12,Puẕuc Curam,புழுச் சுரம்,Helminthic fever,It is characterized by fever with convulsions. It occurs in children with worm infestation. It is explained by increased vali and aiyam. Among the seven udarthadhukal the saram gets affected.,anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:50,puẕuc curam puẕuc curam puẕuc curam puẕuc curam புழுச் சுரம் புழுச் சுரம் புழுச் சுரம் புழுச் சுரம் helminthic fever helminthic fever helminthic fever it is characterized by fever with convulsions. it occurs in children with worm infestation. it is explained by increased vali and aiyam. among the seven udarthadhukal the saram gets affected. anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:50,puẕuc curam
1554,1554,WAB1.13,Mañcaṭ Curam,மஞ்சட் சுரம்,Fever with icterus and dropsy,"It is characterised by continuous fever with yellow colouration of the body, intractable vomiting, bilious vomiting, decreased haematopoiesis and generalized anasarca. It is explained by increased prasaga pitham, increased aiyam. Among the Uṭaṟtātukkaḷ",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:51,"mañcaṭ curam mañcaṭ curam mañcaṭ curam mañcaṭ curam மஞ்சட் சுரம் மஞ்சட் சுரம் மஞ்சட் சுரம் மஞ்சட் சுரம் fever with icterus and dropsy fever with icterus and dropsy fever with icterus and dropsy it is characterised by continuous fever with yellow colouration of the body, intractable vomiting, bilious vomiting, decreased haematopoiesis and generalized anasarca. it is explained by increased prasaga pitham, increased aiyam. among the uṭaṟtātukkaḷ anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:51",mañcaṭ curam
1555,1555,WAB1.14,Kālaic Curam,காலைச் சுரம்,Fever caused in the day time,"It is characterized by hyperpyrexia in morning, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, constipation, excessive thirst, sweating after the fever, excessive tiredness, severe cough, vomiting, yawning and hiccup. It m",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:52,"kālaic curam kālaic curam kālaic curam kālaic curam காலைச் சுரம் காலைச் சுரம் காலைச் சுரம் காலைச் சுரம் fever caused in the day time fever caused in the day time fever caused in the day time it is characterized by hyperpyrexia in morning, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, constipation, excessive thirst, sweating after the fever, excessive tiredness, severe cough, vomiting, yawning and hiccup. it m anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:52",kālaic curam
1556,1556,WAB1.15,Tīvaraṭci Curam,தீவரட்சி சுரம்,Fever caused by skin and bone tissue,"It is characterized by fever, low pulse, wound like body pain, incoherent talk, excessive salivation and body pain, frequent attack of giddiness, affects the bones and causes hyperpyrexia. It is explained by increased vali and Aẕal. Among the udarthadhuka",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:53,"tīvaraṭci curam tīvaraṭci curam tīvaraṭci curam tīvaraṭci curam தீவரட்சி சுரம் தீவரட்சி சுரம் தீவரட்சி சுரம் தீவரட்சி சுரம் fever caused by skin and bone tissue fever caused by skin and bone tissue fever caused by skin and bone tissue it is characterized by fever, low pulse, wound like body pain, incoherent talk, excessive salivation and body pain, frequent attack of giddiness, affects the bones and causes hyperpyrexia. it is explained by increased vali and aẕal. among the udarthadhuka anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:53",tīvaraṭci curam
1557,1557,WAB1.16,Aṉal Curam,அனல் சுரம்,Fever with increased body heat,"It is characterised by hyperpyrexia, thought distoration, tachypnoea, goose flesh, anxiety, thought distoration, redness of whole body, redness of eyes and nose, tremor in body, tastelessness , giddiness, excessive salivation, tierdness, delirium, loose s",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:54,"aṉal curam aṉal curam aṉal curam aṉal curam அனல் சுரம் அனல் சுரம் அனல் சுரம் அனல் சுரம் fever with increased body heat fever with increased body heat fever with increased body heat it is characterised by hyperpyrexia, thought distoration, tachypnoea, goose flesh, anxiety, thought distoration, redness of whole body, redness of eyes and nose, tremor in body, tastelessness , giddiness, excessive salivation, tierdness, delirium, loose s anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:54",aṉal curam
1558,1558,WAB1.17,Vānti Curam,வாந்தி சுரம்,Fever with vomiting,"It is characterized by fever, sweating with diarrhoea, flatulence, wound like body pain, excessive bowel sounds, frequent vomiting, inability to hear, dryness of tongue, pain in anus with diarrhoea. It is explained by increased vali. Among the Uṭaṟtātukka",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:55,"vānti curam vānti curam vānti curam vānti curam வாந்தி சுரம் வாந்தி சுரம் வாந்தி சுரம் வாந்தி சுரம் fever with vomiting fever with vomiting fever with vomiting it is characterized by fever, sweating with diarrhoea, flatulence, wound like body pain, excessive bowel sounds, frequent vomiting, inability to hear, dryness of tongue, pain in anus with diarrhoea. it is explained by increased vali. among the uṭaṟtātukka anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:55",vānti curam
1559,1559,WAB1.18,Viyarvai Curam,வியர்வை சுரம்,Fever with diaphoresis,"It is characterised by high fever, tachypnoea, goose flesh, anxiety, tastelessness , giddiness, excessive salivation, tiredness, loose stools, excessive thirst, darkened face, wounds, increased thirst, yellowish discoloration of limbs, hiccup, sleeplessn",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:56,"viyarvai curam viyarvai curam viyarvai curam viyarvai curam வியர்வை சுரம் வியர்வை சுரம் வியர்வை சுரம் வியர்வை சுரம் fever with diaphoresis fever with diaphoresis fever with diaphoresis it is characterised by high fever, tachypnoea, goose flesh, anxiety, tastelessness , giddiness, excessive salivation, tiredness, loose stools, excessive thirst, darkened face, wounds, increased thirst, yellowish discoloration of limbs, hiccup, sleeplessn anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:56",viyarvai curam
1560,1560,WAB1.19,Tūṅkāc Curam,தூங்காச் சுரம்,Fever with Insomnia,"It is characterised by high fever, thought distoration, tachypnoea, goose flesh, anxiety, thought distoration, redness of whole body, redness of eyes and nose, tremor in body, tastelessness , giddiness, excessive salivation, tierdness, delirium, loose sto",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:57,"tūṅkāc curam tūṅkāc curam tūṅkāc curam tūṅkāc curam தூங்காச் சுரம் தூங்காச் சுரம் தூங்காச் சுரம் தூங்காச் சுரம் fever with insomnia fever with insomnia fever with insomnia it is characterised by high fever, thought distoration, tachypnoea, goose flesh, anxiety, thought distoration, redness of whole body, redness of eyes and nose, tremor in body, tastelessness , giddiness, excessive salivation, tierdness, delirium, loose sto anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:57",tūṅkāc curam
1561,1561,WAB1.20,Naṭukkal Curam,நடுக்கல் சுரம்,Fever with tremors,"It is characterised by hyperpyrexia, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, constipation, excessive thirst, sweating after the fever, excessive tierdness, severe cough, vomiting, yawning and hiccup. It may be explain",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:58,"naṭukkal curam naṭukkal curam naṭukkal curam naṭukkal curam நடுக்கல் சுரம் நடுக்கல் சுரம் நடுக்கல் சுரம் நடுக்கல் சுரம் fever with tremors fever with tremors fever with tremors it is characterised by hyperpyrexia, joint pain, loss of appetite, heaviness of the head, head ache, sluggishness, constipation, excessive thirst, sweating after the fever, excessive tierdness, severe cough, vomiting, yawning and hiccup. it may be explain anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:58",naṭukkal curam
1562,1562,WAB1.21,Ēval Curam,ஏவல் சுரம்,Fever caused due to evil,"It is characterised by boils whole body with continuous fever since it is not related with body. They will have mental dipression , anxiety dellirium, Incoharant speech.This fever due to witch activities. It is explained by increased valli. Among the U",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:59,"ēval curam ēval curam ēval curam ēval curam ஏவல் சுரம் ஏவல் சுரம் ஏவல் சுரம் ஏவல் சுரம் fever caused due to evil fever caused due to evil fever caused due to evil it is characterised by boils whole body with continuous fever since it is not related with body. they will have mental dipression , anxiety dellirium, incoharant speech.this fever due to witch activities. it is explained by increased valli. among the u anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:59",ēval curam
1563,1563,WAB1.22,Cērkkai Curam,சேர்க்கை சுரம்,Fever caused due to increased lust,"It is characterised by high temperature, generalised body pain. Due to excessive intercoarse. It may be explained by increased vali, Aẕal. Among the seven udal thathukal Cāram, Ūṉ gets affected",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:60,"cērkkai curam cērkkai curam cērkkai curam cērkkai curam சேர்க்கை சுரம் சேர்க்கை சுரம் சேர்க்கை சுரம் சேர்க்கை சுரம் fever caused due to increased lust fever caused due to increased lust fever caused due to increased lust it is characterised by high temperature, generalised body pain. due to excessive intercoarse. it may be explained by increased vali, aẕal. among the seven udal thathukal cāram, ūṉ gets affected anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:60",cērkkai curam
1564,1564,WAB1.23,Maruntu Vēka curam,மருந்து வேக சுரம்,Fever caused due to Drugs,"It is characterised by fever, increases blood toxicity ,mouth ulcers,fever with edema, cough,sneezing,diarrhoea, vomiting,palness of body. Due to Improper usage of medicines which has mercury,sulphur,yellow arsenic, trisulphide, semicarpus anacardium. It",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:61,"maruntu vēka curam maruntu vēka curam maruntu vēka curam maruntu vēka curam மருந்து வேக சுரம் மருந்து வேக சுரம் மருந்து வேக சுரம் மருந்து வேக சுரம் fever caused due to drugs fever caused due to drugs fever caused due to drugs it is characterised by fever, increases blood toxicity ,mouth ulcers,fever with edema, cough,sneezing,diarrhoea, vomiting,palness of body. due to improper usage of medicines which has mercury,sulphur,yellow arsenic, trisulphide, semicarpus anacardium. it anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:61",maruntu vēka curam
1565,1565,WAB1.24,Ciṉa Curam,சின சுரம்,Fever caused due to anger,"It is characterised by fever, head ache, body pain , Aẕal increases the blood temperature so they became aggressive and finally the faint with fever. It may be explained by increased valli, Aẕal. Among the udal thathukal Cāram gets affected.",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:62,"ciṉa curam ciṉa curam ciṉa curam ciṉa curam சின சுரம் சின சுரம் சின சுரம் சின சுரம் fever caused due to anger fever caused due to anger fever caused due to anger it is characterised by fever, head ache, body pain , aẕal increases the blood temperature so they became aggressive and finally the faint with fever. it may be explained by increased valli, aẕal. among the udal thathukal cāram gets affected. anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:62",ciṉa curam
1566,1566,WAB1.25,Kāma Curam,காம சுரம்,Fever caused due to lust.,"It is characterised by fever, loss their control and character, burning of body and eyes , dizziness , dryness of mouth, thirsty, palpitation. Due to sexual feeling. It is explained by increased Aẕal. Among the Uṭaṟtātukkaḷ Cāram gets affected.",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:63,"kāma curam kāma curam kāma curam kāma curam காம சுரம் காம சுரம் காம சுரம் காம சுரம் fever caused due to lust. fever caused due to lust. fever caused due to lust. it is characterised by fever, loss their control and character, burning of body and eyes , dizziness , dryness of mouth, thirsty, palpitation. due to sexual feeling. it is explained by increased aẕal. among the uṭaṟtātukkaḷ cāram gets affected. anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:63",kāma curam
1567,1567,WAB1.26,Teyva Ciṉa Curam,தெய்வ சின சுரம்,Fever caused due to curse by god,"It is characterised by fever, head ache, giddiness , vomiting , disorientation. This fever is due to eating the food before serving the god, and also abusing the god. The intensity of fever based on the guilty fealing . It may be explained by increased",anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:Dept of Indian medicine and Homoeopathy department.Page No:64,"teyva ciṉa curam teyva ciṉa curam teyva ciṉa curam teyva ciṉa curam தெய்வ சின சுரம் தெய்வ சின சுரம் தெய்வ சின சுரம் தெய்வ சின சுரம் fever caused due to curse by god fever caused due to curse by god fever caused due to curse by god it is characterised by fever, head ache, giddiness , vomiting , disorientation. this fever is due to eating the food before serving the god, and also abusing the god. the intensity of fever based on the guilty fealing . it may be explained by increased anonymous.(2005).yugimuni vaithiya chinthamani.2nd ed.chennai:dept of indian medicine and homoeopathy department.page no:64",teyva ciṉa curam
1568,1568,WAC,Aiyam,ஐயம்,Fever caused due to internal cause classified under aiyam,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் fever caused due to internal cause classified under aiyam fever caused due to internal cause classified under aiyam fever caused due to internal cause classified under aiyam,aiyam
